Cohort,Cage,Dam ID,DOB,Exp Start,Experiment,Mouse ,Sex,Condition,Arena,Trial
1,119447,279_C_2,6/23/2022,10/4/2022,ContextAtraining,1,F,Ctrl,1,Trial 1
1,119447,279_C_2,6/23/2022,10/4/2022,ContextAtraining,2,F,Ctrl,2,Trial 1
1,119447,279_C_2,6/23/2022,10/4/2022,ContextAtraining,3,F,Ctrl,3,Trial 1
1,119447,279_C_2,6/23/2022,10/4/2022,ContextAtraining,4,F,Ctrl,4,Trial 1
1,119476,279_C_2,6/23/2022,10/4/2022,ContextAtraining,5,F,Ctrl,1,Trial 2
1,119476,279_C_2,6/23/2022,10/4/2022,ContextAtraining,6,F,Ctrl,2,Trial 2
1,114736,265_E_5,6/28/2022,10/4/2022,ContextAtraining,7,F,ELS,1,Trial 3
1,114736,265_E_5,6/28/2022,10/4/2022,ContextAtraining,8,F,ELS,2,Trial 3
1,114736,265_E_5,6/28/2022,10/4/2022,ContextAtraining,9,F,ELS,3,Trial 3
1,114736,265_E_5,6/28/2022,10/4/2022,ContextAtraining,10,F,ELS,4,Trial 3
1,114678,237_E_3,6/26/2022,10/4/2022,ContextAtraining,11,F,ELS,1,Trial 4
1,114678,237_E_3,6/26/2022,10/4/2022,ContextAtraining,12,F,ELS,2,Trial 4
1,114678,237_E_3,6/26/2022,10/4/2022,ContextAtraining,13,F,ELS,3,Trial 4
1,116303,288_C_2,6/16/2022,10/4/2022,ContextAtraining,1,M,Ctrl,1,Trial 5
1,116303,288_C_2,6/16/2022,10/4/2022,ContextAtraining,2,M,Ctrl,2,Trial 5
1,116303,288_C_2,6/16/2022,10/4/2022,ContextAtraining,3,M,Ctrl,3,Trial 5
1,116303,288_C_2,6/16/2022,10/4/2022,ContextAtraining,4,M,Ctrl,4,Trial 5
1,119470,237_E_3,6/26/2022,10/4/2022,ContextAtraining,5,M,ELS,1,Trial 6
1,119470,237_E_3,6/26/2022,10/4/2022,ContextAtraining,6,M,ELS,2,Trial 6
1,119470,237_E_3,6/26/2022,10/4/2022,ContextAtraining,7,M,ELS,3,Trial 6
1,119470,237_E_3,6/26/2022,10/4/2022,ContextAtraining,8,M,ELS,4,Trial 6
1,113342,265_E_5,6/28/2022,10/4/2022,ContextAtraining,9,M,ELS,1,Trial 7
1,113342,265_E_5,6/28/2022,10/4/2022,ContextAtraining,10,M,ELS,2,Trial 7
1,113342,265_E_5,6/28/2022,10/4/2022,ContextAtraining,11,M,ELS,3,Trial 7
1,119447,279_C_2,6/23/2022,10/5/2022,ContextATest,1,F,Ctrl,1,Trial 8
